Table with column headers in rows 3 and 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021 Poverty and Median Household Income Estimates - States and National
Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program
Release Date:  December 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
40,OK,Oklahoma,"599,003","587,366","610,640",15.4,15.1,15.7,"193,524","187,346","199,702",20.5,19.8,21.2,"133,145","127,959","138,331",19.0,18.3,19.7,"55,829","55,210","56,448","56,598","53,190","60,006",23.6,22.2,25.0
41,OR,Oregon,"507,504","493,784","521,224",12.2,11.9,12.5,"115,775","109,621","121,929",13.8,13.1,14.5,"81,501","76,169","86,833",12.9,12.1,13.7,"71,441","70,406","72,476","29,637","26,737","32,537",14.6,13.2,16.0
42,PA,Pennsylvania,"1,503,929","1,480,307","1,527,551",12.0,11.8,12.2,"429,209","414,287","444,131",16.3,15.7,16.9,"303,178","289,981","316,375",15.5,14.8,16.2,"68,931","68,429","69,433","116,290","109,264","123,316",17.5,16.4,18.6
44,RI,Rhode Island,"126,971","121,343","132,599",12.1,11.6,12.6,"34,400","32,496","36,304",17.0,16.1,17.9,"24,199","22,676","25,722",16.0,15.0,17.0,"73,324","71,173","75,475","9,556","8,437","10,675",18.6,16.4,20.8
45,SC,South Carolina,"736,098","719,691","752,505",14.5,14.2,14.8,"216,791","208,749","224,833",19.7,19.0,20.4,"154,506","147,582","161,430",18.8,18.0,19.6,"59,447","58,606","60,288","59,011","55,007","63,015",21.5,20.0,23.0
46,SD,South Dakota,"103,337","99,076","107,598",11.9,11.4,12.4,"30,921","29,027","32,815",14.4,13.5,15.3,"20,663","19,144","22,182",13.1,12.1,14.1,"66,843","64,779","68,907","9,423","8,334","10,512",16.5,14.6,18.4
47,TN,Tennessee,"934,856","915,693","954,019",13.7,13.4,14.0,"277,454","268,009","286,899",18.4,17.8,19.0,"196,884","188,889","204,879",17.7,17.0,18.4,"59,698","58,920","60,476","75,501","70,440","80,562",19.3,18.0,20.6
48,TX,Texas,"4,122,799","4,067,445","4,178,153",14.2,14.0,14.4,"1,438,533","1,403,971","1,473,095",19.5,19.0,20.0,"1,023,611","992,613","1,054,609",18.6,18.0,19.2,"66,959","66,448","67,470","393,888","378,420","409,356",21.2,20.4,22.0
49,UT,Utah,"286,086","273,709","298,463",8.7,8.3,9.1,"79,258","73,557","84,959",8.5,7.9,9.1,"52,922","47,900","57,944",7.6,6.9,8.3,"79,449","78,242","80,656","22,873","20,451","25,295",9.8,8.8,10.8
50,VT,Vermont,"63,208","59,860","66,556",10.2,9.7,10.7,"12,908","11,928","13,888",11.2,10.3,12.1,"9,163","8,336","9,990",10.5,9.6,11.4,"72,415","70,396","74,434","3,196","2,682","3,710",11.6,9.7,13.5
51,VA,Virginia,"862,792","843,622","881,962",10.3,10.1,10.5,"247,264","237,600","256,928",13.3,12.8,13.8,"172,697","164,587","180,807",12.6,12.0,13.2,"80,926","80,203","81,649","69,303","64,164","74,442",14.4,13.3,15.5
53,WA,Washington,"755,589","738,622","772,556",9.9,9.7,10.1,"197,271","188,204","206,338",12.0,11.4,12.6,"136,772","128,977","144,567",11.2,10.6,11.8,"84,155","83,322","84,988","53,637","48,940","58,334",12.7,11.6,13.8
54,WV,West Virginia,"291,051","282,054","300,048",16.8,16.3,17.3,"74,847","71,804","77,890",21.4,20.5,22.3,"52,556","50,045","55,067",20.0,19.0,21.0,"51,122","50,059","52,185","21,090","19,436","22,744",24.7,22.8,26.6
55,WI,Wisconsin,"622,948","610,655","635,241",10.8,10.6,11.0,"169,816","163,145","176,487",13.6,13.1,14.1,"120,713","114,750","126,676",12.9,12.3,13.5,"67,150","66,549","67,751","44,523","41,734","47,312",14.3,13.4,15.2
56,WY,Wyoming,"60,226","56,527","63,925",10.6,9.9,11.3,"15,661","14,411","16,911",12.1,11.1,13.1,"10,517","9,480","11,554",10.7,9.6,11.8,"66,508","64,077","68,939","4,455","3,781","5,129",14.2,12.0,16.4
